day,energy_sum,HouseCount,avg_energy,temperatureMax,windBearing,dewPoint,cloudCover,windSpeed,pressure,apparentTemperatureHigh,visibility,humidity,apparentTemperatureLow,apparentTemperatureMax,uvIndex,temperatureLow,temperatureMin,temperatureHigh,apparentTemperatureMin,moonPhase
2011-11-24,139.4719999,13,10.728615376923075,12.93,204,8.56,0.41,4.04,1027.22,12.93,10.64,0.89,7.3,12.93,1.0,9.71,8.56,12.93,7.01,0.97
2011-11-25,254.555,25,10.1822,13.03,243,7.24,0.48,5.02,1024.47,12.27,12.38,0.79,4.69,13.03,1.0,7.01,7.46,12.27,4.84,0.01
2011-11-26,339.5419998,32,10.61068749375,12.96,237,6.96,0.44,5.75,1025.8,12.96,13.07,0.81,11.59,12.96,1.0,11.59,7.01,12.96,4.69,0.05
2011-11-27,444.8830006,41,10.850804892682927,13.54,256,5.76,0.42,5.48,1021.11,13.54,13.08,0.72,1.31,13.54,1.0,1.31,4.47,13.54,2.94,0.08
2011-11-28,414.32799969999996,41,10.105560968292682,12.58,190,4.39,0.56,2.34,1022.8,10.27,11.84,0.86,10.27,12.58,1.0,10.27,1.31,10.27,1.31,0.12
2011-11-29,527.3150004,55,9.587545461818182,13.47,213,8.61,0.6,6.48,1009.7,13.47,12.57,0.82,3.34,13.47,1.0,6.34,6.37,13.47,3.39,0.15
2011-11-30,592.3840001,63,9.402920636507936,11.87,205,5.26,0.31,4.43,1019.43,11.87,13.05,0.78,6.23,11.87,1.0,9.44,6.34,11.87,3.34,0.19
2011-12-01,719.3060006,76,9.464552639473684,12.15,225,6.87,0.57,2.57,1007.12,12.15,12.15,0.82,0.46,12.15,1.0,2.56,6.08,12.15,5.29,0.22
2011-12-02,946.2040003999999,92,10.284826091304348,8.07,232,3.69,0.32,3.0,1012.12,5.33,11.89,0.87,3.26,5.33,1.0,6.33,2.56,7.36,0.46,0.25
2011-12-03,1032.243,99,10.42669696969697,11.42,247,6.58,0.54,5.42,1003.55,11.42,12.7,0.79,4.9,11.42,1.0,7.53,8.12,11.42,4.71,0.28
2011-12-04,1337.9440002,110,12.163127274545454,9.11,254,4.87,0.36,4.31,1001.15,6.66,13.36,0.82,-1.69,6.66,1.0,2.81,4.69,9.11,1.03,0.31
2011-12-05,1196.9570002,110,10.881427274545455,6.87,254,0.84,0.2,5.57,1006.01,3.13,13.0,0.77,-1.61,3.13,1.0,2.68,2.81,6.87,-1.69,0.34
2011-12-06,1468.197,126,11.652357142857142,6.91,245,2.15,0.34,4.79,1007.32,3.77,13.15,0.83,1.9,3.77,1.0,5.16,2.68,6.91,-1.61,0.37
2011-12-07,1506.2550007,132,11.411022732575757,9.02,263,1.79,0.29,7.06,1008.76,4.98,13.12,0.68,0.63,5.14,1.0,4.27,4.91,9.02,0.94,0.4
2011-12-08,1778.4909996,152,11.700598681578947,12.89,234,5.96,0.53,7.01,1010.84,12.89,12.59,0.81,-0.37,12.89,1.0,3.76,4.27,12.89,0.63,0.43
2011-12-09,2026.6739996,167,12.13577245269461,7.68,255,0.41,0.15,5.65,1010.6,3.99,12.83,0.71,-3.42,3.99,1.0,-0.13,2.03,7.68,-1.42,0.46
2011-12-10,2364.1979994,184,12.848902170652172,6.08,247,-0.34,0.17,3.08,1015.58,3.14,12.83,0.81,0.11,3.14,1.0,2.48,-0.13,6.08,-3.42,0.49
2011-12-11,2736.4070016,200,13.682035008,8.59,198,4.49,0.56,3.94,1007.71,5.62,12.09,0.88,-0.64,5.72,1.0,3.09,2.48,8.59,0.11,0.53
2011-12-12,2440.7549996,199,12.26510050050251,9.82,221,4.1,0.38,5.02,1002.47,5.18,12.05,0.84,2.71,5.94,1.0,6.88,3.09,8.53,-0.64,0.56
2011-12-13,2441.4509995,206,11.85170388106796,12.08,233,3.62,0.42,7.44,990.27,4.51,12.55,0.75,0.22,12.08,1.0,4.16,4.54,8.48,0.22,0.59
2011-12-14,2748.6070004,222,12.381112614414414,5.92,228,1.68,0.36,4.48,994.48,1.77,13.2,0.79,1.07,2.88,1.0,4.08,4.14,5.81,0.78,0.63
2011-12-15,2962.9370015,232,12.77128017887931,7.97,234,2.41,0.42,4.71,996.75,4.25,12.79,0.77,-2.58,4.38,1.0,1.8,4.08,7.97,1.07,0.66
2011-12-16,3367.4039975,251,13.4159521812749,4.68,315,1.6,0.7,3.71,988.1,0.23,10.96,0.88,-3.56,0.99,1.0,0.24,1.8,4.53,-2.65,0.7
2011-12-17,3551.1509992,260,13.658273073846154,5.35,285,0.96,0.37,3.99,1008.46,1.72,11.64,0.86,-4.12,1.72,1.0,-0.01,0.24,5.35,-3.56,0.73
2011-12-18,4103.0639997,278,14.759223020503596,5.49,289,-0.31,0.22,3.6,1016.37,1.98,13.04,0.84,-3.67,1.98,1.0,-0.84,-0.56,5.49,-4.12,0.77
2011-12-19,3941.239001,280,14.075853575,6.64,235,2.45,0.47,2.7,1014.39,4.02,10.43,0.94,2.27,4.02,1.0,5.83,-0.84,6.64,-3.67,0.81
2011-12-20,4069.3769978,310,13.127022573548388,8.26,279,3.64,0.48,4.25,1015.09,4.98,12.89,0.81,3.53,4.98,1.0,5.93,5.66,8.26,1.68,0.85
2011-12-21,4050.2959993,323,12.539616096904025,12.14,266,8.6,0.67,2.9,1017.91,12.14,9.41,0.94,5.37,12.14,0.0,8.08,5.93,12.14,3.84,0.88
2011-12-22,4168.2919983,348,11.977850569827586,12.14,257,8.07,0.38,4.31,1024.71,12.14,12.99,0.87,10.35,12.14,1.0,10.35,8.08,12.14,5.37,0.92
2011-12-23,4529.3570012,367,12.341572210354224,11.44,247,7.08,0.74,4.85,1017.67,11.21,12.36,0.85,-0.51,11.44,0.0,3.17,5.28,11.21,0.99,0.96
2011-12-24,4923.564999499999,374,13.164612298128342,8.22,252,2.79,0.37,4.46,1028.17,5.02,13.16,0.8,4.37,5.32,1.0,7.45,3.17,7.93,-0.51,0.99
2011-12-25,4894.2689985,376,13.016672868351064,11.98,237,7.9,0.88,5.81,1028.45,11.54,13.99,0.83,11.52,11.98,0.0,11.52,8.67,11.54,5.93,0.03
2011-12-26,4157.7890009,376,11.057949470478723,12.91,236,8.88,0.81,5.44,1033.14,12.91,13.23,0.84,6.91,12.91,1.0,9.79,9.82,12.91,6.91,0.07
2011-12-27,4345.089,378,11.494944444444444,10.33,225,5.47,0.85,3.54,1032.76,10.33,13.39,0.74,5.52,10.33,0.0,8.03,8.03,10.33,5.59,0.1
2011-12-28,4491.2349984,376,11.944773931914893,11.19,239,4.89,0.46,6.02,1021.31,11.19,12.83,0.77,0.98,11.19,1.0,5.31,5.95,11.19,1.84,0.13
2011-12-29,4730.7059993,382,12.384047118586388,9.58,258,3.3,0.45,6.83,1020.47,6.46,13.13,0.76,1.71,6.46,1.0,5.33,5.31,9.58,0.98,0.17
2011-12-30,5011.2390012999995,401,12.496855364837904,10.27,260,4.12,0.56,3.71,1016.85,4.92,11.06,0.84,4.06,10.27,1.0,6.77,5.33,6.99,1.71,0.2
2011-12-31,5111.2049989,411,12.43602189513382,12.57,250,9.87,0.76,5.46,1010.02,12.17,13.33,0.89,11.9,12.57,0.0,11.9,10.66,12.17,10.66,0.23
2012-01-01,5123.6349993,411,12.46626520510949,12.59,227,9.45,0.58,4.92,1004.82,12.56,12.33,0.9,1.65,12.59,1.0,5.18,7.71,12.56,4.86,0.26
2012-01-02,5216.9149996,409,12.755293397555011,7.57,237,2.8,0.21,4.81,1008.49,4.04,13.23,0.81,1.27,4.8,1.0,4.69,4.69,7.57,0.87,0.29
2012-01-03,4989.2479999,388,12.858886597680412,12.41,234,5.73,0.48,8.47,1003.23,12.41,10.8,0.82,0.79,12.41,1.0,5.27,5.96,12.41,1.73,0.32
2012-01-04,5327.2920005,417,12.775280576738608,9.33,253,3.38,0.49,7.98,1014.07,4.36,12.62,0.78,3.84,4.77,1.0,8.16,5.27,8.21,0.79,0.35
2012-01-05,5352.2809999,418,12.804499999760766,11.46,283,4.28,0.47,9.49,1004.74,11.04,12.92,0.7,1.64,11.46,1.0,4.4,7.34,11.04,3.67,0.38
2012-01-06,5332.201000999999,419,12.726016708830548,9.18,274,3.39,0.45,3.93,1023.65,5.74,12.96,0.78,5.13,6.13,1.0,8.08,4.4,8.08,1.64,0.41
2012-01-07,5355.069003,421,12.719878866983372,10.34,274,4.47,0.6,5.65,1021.72,10.2,13.45,0.72,4.72,10.34,1.0,7.6,7.6,10.2,4.72,0.44
2012-01-08,5658.9509983,422,13.40983648886256,9.62,275,4.46,0.73,3.56,1026.57,8.09,13.13,0.75,5.51,8.09,1.0,7.74,8.12,9.62,5.52,0.47
2012-01-09,5245.2369993,420,12.488659522142857,12.33,256,7.61,0.68,4.05,1029.61,12.33,12.47,0.84,7.25,12.33,1.0,9.16,7.74,12.33,5.51,0.51
2012-01-10,5099.9769969,424,12.028247634198113,11.29,246,7.92,0.72,3.76,1033.21,11.29,12.42,0.87,4.79,11.29,1.0,7.1,9.16,11.29,7.25,0.54
2012-01-11,5107.9700004999995,426,11.990539907276995,11.19,248,6.53,0.53,3.98,1032.94,11.19,13.05,0.84,4.18,11.19,1.0,7.48,7.1,11.19,4.79,0.57
2012-01-12,5177.6989999,429,12.069228437995337,12.4,265,5.51,0.46,4.35,1027.85,12.4,13.12,0.81,0.08,12.4,1.0,2.34,5.08,12.4,2.86,0.61
